Sensor,X,Y,Z
0,277.92188,-11.5625,16.328125
4,50.013477,,
1,-33.911606,18.419006,
3,110,,
2,1.494,-4.75,9.845
0,281.76563,-23.921875,45.5625
4,47.22193,,
1,-33.911606,18.419006,
3,9,,
2,10.534,5.822,3.294
0,240.01563,11.359375,24.671875
4,50.50936,,
1,-33.911606,18.419006,
3,8,,
2,10.19,-3.064,5.746
0,246.875,20.78125,48.71875
4,48.990986,,
1,-33.911606,18.419006,
3,8,,
2,7.393,-4.022,4.252
0,260.57813,5.125,66.71875
4,52.735683,,
1,-33.911606,18.419006,
3,7,,
2,10.381,3.83,3.294
0,297.46875,-40.421875,42.375
4,53.037098,,
1,-33.911606,18.419006,
3,7,,
2,5.478,7.048,0.842
0,247.17188,28.671875,57.875
4,60.714634,,
1,-33.911606,18.419006,
3,3,,
2,9.73,-6.014,1.302
0,222.23438,53.65625,36.140625
4,65.28716,,
1,-33.911606,18.419006,
3,0,,
2,5.018,-9.615,-1.187
0,205.90625,67.921875,21.03125
4,68.51854,,
1,-33.911606,18.419006,
3,0,,
2,3.332,-6.972,-0.229
0,198.90625,73.46875,14.953125
4,69.54988,,
1,-33.911606,18.419006,
3,0,,
2,1.302,-13.522,-2.758
0,183.65625,62.109375,0.515625
4,46.75463,,
1,-33.911606,18.419006,
3,7,,
2,-2.873,-2.988,-9.845
0,338.65625,-51.03125,11.953125
4,44.772316,,
1,-33.911606,18.419006,
3,28,,
2,1.8,8.466,-1.8
0,325.71875,-61.921875,25.875
4,45.167393,,
1,-33.911606,18.419006,
3,28,,
2,5.861,4.328,-7.891
0,219.73438,43.828125,29.359375
4,54.68579,,
1,-33.911606,18.419006,
3,0,,
2,8.389,-4.06,-4.252
0,255.125,13.90625,57.078125
4,57.112434,,
1,-33.911606,18.419006,
3,0,,
2,7.125,-2.49,-4.75
0,187.875,65.234375,3.203125
4,67.43451,,
1,-33.911606,18.419006,
3,0,,
2,1.8,-9.768,1.762
0,197.23438,74.453125,11.828125
4,57.53235,,
1,-33.911606,18.419006,
3,0,,
2,2.49,-9.807,1.685
0,194.25,65.796875,8.671875
4,58.48435,,
1,-33.911606,18.419006,
3,0,,
2,1.379,-8.887,3.217
0,197,70.734375,11.65625
4,50.062115,,
1,-33.911606,18.419006,
3,0,,
2,1.8,-9.308,2.451
0,197.125,71.5625,11.9375
4,49.1013,,
